순위,등록번호,서명,저자,발행자,청구기호,대출횟수
185,EM0000428404,인공지능 세계에서 살아남기. 1,곰돌이co. 글 ; 한현동 그림,미래엔,J004-곰225ㅇ-1,8
186,EM0000428400,Why? 3D 프린팅,조영선 글 ; 이영호 만화,예림당,J004.7-조64ㅇ,8
187,EM0000428383,이기는 부동산 투자 : 시장과 정책에 흔들리지 않는 부동산 투자의 정석,월전쉽 지음,길벗,327.87-월73ㅇ,8
188,EM0000427835,러시아에서 보물찾기,곰돌이 co. 글 ; 강경효 그림,아이세움,J909-곰225ㄹ,8
189,EM0000427533,수상한 식당,박현숙 글 ; 장서영 그림,북멘토,J813.8-박94ㅅ,8
190,EM0000427349,협곡에서 살아남기,달콤팩토리 글 ; 한현동 그림,Mirean아이세움,J452.42-달825ㅎ,8
191,EM0000425978,(루루와 라라의) 부드러운 무스,안비루 야스코 글·그림  ; 정문주 옮김,소담주니어,J833.8-안49ㅂ,8
192,EM0000423706,제3제국. 1-3 : 이원호 기업소설,이원호 지음,황금물고기,813.7-이67ㅈ-2,8
193,EM0000423705,제3제국. 1-3 : 이원호 기업소설,이원호 지음,황금물고기,813.7-이67ㅈ-1,8
194,EM0000423597,개구리 가족,윤선아 이야기 ; 강경수 그림,한솔교육,MC 813.8-윤53ㄱ,8
195,EM0000423595,구름빵,백희나 글·그림 ; 김향수 빛그림,한솔교육,MC 813.8-백98ㄱ,8
196,EM0000423488,나보다 작은 형,임정진 글 ; 이웅기 그림,푸른숲,J813.8-임73ㄴ=7,8
197,EM0000421649,까만 크레파스,"나카야 미와 글,그림 ; 김난주 옮김",웅진주니어,MC 833.6-나821ㄲ=2,8
198,EM0000421588,서연이와 마법의 매직카드  : 한예찬 작가의 마법 판타지 동화,한예찬 글  ; 김민혜 그림,가문비어린이,J813.8-한64ㅅ,8
199,EM0000420936,사소하고도 특별한 : 성지혜 장편 소설,성지혜 지음,봄 미디어,813.7-성79ㅅ,8
200,EM0000417630,(나의 눈이 되어 준) 안내견 탄실이,고정욱 글 ; 김동성 그림,대교출판,J813.8-고73ㅇ=2,8
